Time (s),x,y,z
34.432,-1.22,-1.76,0.61
34.441,-1.5,-1.77,0.62
34.443,-1.72,-1.72,0.57
34.446,-1.88,-1.58,0.49
34.49,-1.92,-1.39,0.39
34.492,-1.87,-1.15,0.29
34.494,-1.77,-0.92,0.14
34.498,-1.64,-0.73,-0.06
34.501,-1.49,-0.61,-0.22
34.503,-1.32,-0.6,-0.36
34.504,-1.07,-0.6,-0.47
34.506,-0.83,-0.65,-0.57
34.508,-0.62,-0.73,-0.61
34.509,-0.45,-0.79,-0.61
34.51,-0.31,-0.87,-0.56
34.512,-0.17,-0.92,-0.48
34.514,-0.08,-0.96,-0.41
34.516,0,-0.99,-0.35
34.523,0.02,-1.01,-0.28
34.525,0.03,-1.01,-0.25
34.529,0.05,-1.01,-0.23
34.537,0.08,-1.02,-0.21
34.539,0.04,-1,-0.18
34.544,0.02,-0.97,-0.15
34.582,-0.01,-0.94,-0.12
34.584,-0.04,-0.91,-0.1
34.585,-0.07,-0.9,-0.08
34.586,-0.11,-0.89,-0.08
34.588,-0.14,-0.89,-0.06
34.589,-0.17,-0.91,-0.05
34.59,-0.23,-0.92,-0.05
34.591,-0.28,-0.92,-0.05
34.593,-0.31,-0.92,-0.06
34.594,-0.34,-0.91,-0.07
34.604,-0.36,-0.92,-0.07
34.605,-0.37,-0.9,-0.08
34.609,-0.39,-0.9,-0.06
34.621,-0.39,-0.89,-0.06
34.623,-0.4,-0.88,-0.03
34.624,-0.42,-0.87,-0.04
34.628,-0.42,-0.86,-0.04
34.637,-0.44,-0.85,-0.06
34.638,-0.45,-0.83,-0.08
34.643,-0.46,-0.82,-0.08
34.678,-0.47,-0.81,-0.13
34.68,-0.48,-0.81,-0.13
34.682,-0.5,-0.79,-0.14
34.684,-0.52,-0.78,-0.15
34.685,-0.54,-0.75,-0.19
34.687,-0.56,-0.74,-0.17
34.688,-0.58,-0.72,-0.21
34.69,-0.57,-0.68,-0.22
34.691,-0.59,-0.66,-0.21
34.693,-0.6,-0.65,-0.22
34.702,-0.6,-0.64,-0.22
34.705,-0.6,-0.63,-0.24
34.707,-0.59,-0.63,-0.23
34.713,-0.58,-0.65,-0.23
34.722,-0.58,-0.66,-0.25
34.724,-0.6,-0.68,-0.23
34.727,-0.58,-0.7,-0.28
34.737,-0.59,-0.72,-0.28
34.739,-0.57,-0.75,-0.31
34.742,-0.57,-0.76,-0.33
34.785,-0.54,-0.77,-0.36
34.787,-0.54,-0.76,-0.34
34.789,-0.53,-0.78,-0.33
34.791,-0.52,-0.8,-0.32
34.793,-0.52,-0.81,-0.28
34.795,-0.5,-0.84,-0.23
34.796,-0.53,-0.87,-0.22
34.798,-0.55,-0.88,-0.21
34.8,-0.57,-0.89,-0.18
34.802,-0.58,-0.9,-0.16
34.804,-0.57,-0.9,-0.15
34.805,-0.54,-0.91,-0.14
34.806,-0.51,-0.92,-0.13
34.815,-0.46,-0.93,-0.11
34.817,-0.41,-0.95,-0.11
34.821,-0.39,-0.97,-0.11
34.826,-0.35,-0.99,-0.11
34.835,-0.32,-1.01,-0.14
34.836,-0.28,-1.03,-0.14
34.841,-0.26,-1.06,-0.14
34.845,-0.25,-1.07,-0.16
34.879,-0.24,-1.08,-0.17
34.88,-0.24,-1.09,-0.18
34.881,-0.24,-1.1,-0.17
34.882,-0.25,-1.09,-0.18
34.883,-0.28,-1.08,-0.18
34.884,-0.31,-1.06,-0.2
34.885,-0.35,-1.05,-0.18
34.886,-0.39,-1.01,-0.18
34.892,-0.43,-0.99,-0.2
34.895,-0.48,-0.98,-0.22
34.904,-0.51,-0.97,-0.23
34.906,-0.53,-0.95,-0.21
34.91,-0.55,-0.95,-0.21
34.919,-0.57,-0.95,-0.19
34.921,-0.6,-0.95,-0.17
34.925,-0.61,-0.94,-0.13
34.935,-0.64,-0.94,-0.09
34.937,-0.66,-0.93,-0.05
34.94,-0.69,-0.93,-0.04
34.945,-0.72,-0.92,-0.04
34.984,-0.74,-0.93,-0.02
34.986,-0.77,-0.95,0
34.987,-0.8,-0.97,0
34.988,-0.84,-1.01,0
34.99,-0.88,-1.05,0.01
34.991,-0.89,-1.06,0.03
34.993,-0.91,-1.06,0.04
34.994,-0.93,-1.06,0.06
34.995,-0.94,-1.04,0.08
34.997,-0.96,-1.02,0.13
35.004,-0.98,-1.01,0.15
35.006,-1,-1.01,0.17
35.009,-1.02,-0.99,0.17
35.02,-1.04,-1,0.19
35.021,-1.08,-1,0.18
35.023,-1.08,-1,0.2
35.028,-1.09,-0.98,0.23
35.034,-1.09,-0.97,0.22
35.039,-1.05,-0.95,0.24
35.043,-1.01,-0.93,0.25
35.074,-0.98,-0.91,0.24
35.075,-0.93,-0.89,0.24
35.076,-0.89,-0.9,0.21
35.077,-0.85,-0.91,0.17
35.078,-0.81,-0.94,0.16
35.079,-0.78,-0.98,0.15
35.08,-0.77,-1.02,0.17
35.086,-0.77,-1.06,0.18
35.088,-0.76,-1.1,0.19
35.093,-0.75,-1.14,0.19
35.1,-0.73,-1.18,0.21
35.103,-0.72,-1.2,0.19
35.108,-0.72,-1.22,0.17
35.112,-0.72,-1.24,0.12
35.118,-0.69,-1.24,0.07
35.122,-0.68,-1.23,0.01
35.128,-0.66,-1.2,-0.07
35.135,-0.67,-1.17,-0.1
35.137,-0.69,-1.13,-0.14
35.142,-0.7,-1.1,-0.19
35.182,-0.71,-1.07,-0.21
35.183,-0.68,-1.04,-0.25
35.184,-0.64,-1,-0.3
35.185,-0.6,-0.96,-0.35
35.186,-0.57,-0.91,-0.41
35.187,-0.55,-0.85,-0.49
35.188,-0.54,-0.81,-0.52
35.188,-0.53,-0.77,-0.56
35.189,-0.55,-0.76,-0.59
35.192,-0.56,-0.72,-0.63
35.204,-0.59,-0.72,-0.62
35.207,-0.62,-0.72,-0.6
35.209,-0.65,-0.74,-0.55
35.212,-0.65,-0.74,-0.45
35.219,-0.67,-0.78,-0.37
35.222,-0.69,-0.78,-0.27
35.226,-0.7,-0.8,-0.14
35.235,-0.74,-0.81,0.01
35.237,-0.73,-0.83,0.12
35.241,-0.76,-0.88,0.16
35.285,-0.75,-0.91,0.19
35.286,-0.78,-0.95,0.2
35.287,-0.8,-1,0.11
35.289,-0.81,-1.04,0.05
35.29,-0.82,-1.07,0
35.291,-0.81,-1.09,-0.07
35.292,-0.8,-1.1,-0.09
35.293,-0.78,-1.11,-0.13
35.293,-0.76,-1.1,-0.17
35.294,-0.7,-1.11,-0.18
35.296,-0.61,-1.11,-0.2
35.303,-0.52,-1.11,-0.2
35.306,-0.44,-1.1,-0.2
35.31,-0.34,-1.09,-0.19
35.32,-0.29,-1.07,-0.17
35.322,-0.23,-1.04,-0.17
35.325,-0.17,-1.02,-0.15
35.335,-0.14,-0.99,-0.11
35.337,-0.1,-0.95,-0.1
35.34,-0.06,-0.92,-0.06
35.345,-0.03,-0.89,-0.05
35.433,-0.02,-0.87,-0.04
35.435,0,-0.85,-0.06
35.437,0.01,-0.83,-0.02
35.439,0,-0.81,-0.03
35.44,-0.02,-0.78,-0.03
35.444,-0.02,-0.77,-0.02
35.446,-0.03,-0.74,-0.02
35.448,-0.02,-0.72,-0.02
35.449,-0.04,-0.69,0
35.453,-0.04,-0.67,-0.01
35.455,-0.04,-0.65,-0.03
35.457,-0.05,-0.64,-0.02
35.459,-0.07,-0.61,-0.02
35.461,-0.09,-0.59,0.01
35.462,-0.11,-0.58,0.01
35.464,-0.12,-0.58,0.02
35.466,-0.13,-0.58,0.02
35.467,-0.14,-0.58,0.02
35.469,-0.15,-0.57,0
35.471,-0.14,-0.56,0
35.473,-0.15,-0.55,0
35.475,-0.13,-0.52,-0.01
35.477,-0.13,-0.5,-0.03
35.48,-0.1,-0.48,0.01
35.481,-0.09,-0.46,0.04
35.483,-0.07,-0.44,0.03
35.485,-0.05,-0.43,0.07
35.488,-0.01,-0.42,0.15
35.491,0.01,-0.43,0.19
35.51,0.01,-0.42,0.23
35.512,-0.02,-0.42,0.25
35.514,-0.05,-0.41,0.3
35.517,-0.1,-0.4,0.32
35.519,-0.15,-0.43,0.35
35.52,-0.21,-0.45,0.38
35.523,-0.28,-0.48,0.46
35.564,-0.38,-0.52,0.54
35.566,-0.5,-0.56,0.62
35.567,-0.67,-0.63,0.76
35.569,-0.87,-0.71,0.92
35.57,-1.12,-0.81,1.16
35.571,-1.42,-0.9,1.43
35.577,-1.7,-1,1.52
35.579,-1.93,-1.11,1.43
35.581,-2,-1.19,1.24
35.583,-2,-1.24,0.95
35.584,-2,-1.28,0.7
35.586,-1.98,-1.26,0.55
35.588,-1.61,-1.23,0.53
35.604,-1.31,-1.12,0.58
35.605,-1.07,-0.98,0.58
35.606,-0.91,-0.9,0.59
35.608,-0.79,-0.87,0.53
35.66,-0.7,-0.87,0.52
35.662,-0.59,-0.87,0.48
35.664,-0.49,-0.86,0.48
35.666,-0.4,-0.83,0.45
35.667,-0.29,-0.8,0.41
35.669,-0.19,-0.77,0.41
35.67,-0.09,-0.73,0.39
35.672,-0.01,-0.71,0.38
35.673,0.06,-0.69,0.37
35.675,0.14,-0.68,0.34
35.676,0.2,-0.7,0.33
35.678,0.24,-0.75,0.35
35.679,0.24,-0.79,0.29
35.681,0.19,-0.86,0.13
35.683,0.09,-0.89,0.01
35.694,-0.02,-0.89,-0.15
35.696,-0.15,-0.87,-0.26
35.698,-0.27,-0.86,-0.3
35.738,-0.37,-0.86,-0.26
35.739,-0.49,-0.9,-0.12
35.74,-0.59,-0.99,0.16
35.741,-0.76,-1.19,0.54
35.742,-1.1,-1.53,0.94
35.742,-1.46,-1.97,1.06
35.744,-1.58,-2,0.7
35.746,-1.56,-2,0.08
35.747,-1.47,-2,-0.34
35.748,-1.34,-2,-0.44
35.755,-1.06,-1.35,-0.36
35.756,-0.75,-0.87,-0.25
35.76,-0.48,-0.56,-0.13
35.794,-0.28,-0.38,-0.07
35.796,-0.12,-0.31,-0.04
35.797,0.01,-0.31,-0.04
35.798,0.1,-0.36,-0.1
35.799,0.17,-0.44,-0.21
35.8,0.19,-0.54,-0.3
35.801,0.22,-0.59,-0.35
35.802,0.21,-0.66,-0.39
35.806,0.22,-0.73,-0.35
35.811,0.19,-0.81,-0.33
35.817,0.17,-0.88,-0.32
35.82,0.13,-0.94,-0.34
35.826,0.09,-1.03,-0.35
35.835,0.05,-1.11,-0.36
35.836,-0.01,-1.18,-0.35
35.84,-0.09,-1.28,-0.36
35.844,-0.19,-1.37,-0.35
35.885,-0.29,-1.43,-0.34
35.886,-0.4,-1.47,-0.31
35.888,-0.51,-1.48,-0.26
35.889,-0.63,-1.47,-0.21
35.891,-0.73,-1.44,-0.19
35.892,-0.83,-1.4,-0.13
35.894,-0.95,-1.34,-0.12
35.895,-1.05,-1.27,-0.1
35.897,-1.14,-1.16,-0.1
35.898,-1.2,-1.03,-0.11
35.899,-1.22,-0.88,-0.09
35.908,-1.19,-0.75,-0.1
35.909,-1.14,-0.61,-0.08
35.918,-1.06,-0.51,-0.06
35.92,-0.96,-0.44,-0.01
35.923,-0.84,-0.42,0.05
35.934,-0.72,-0.43,0.11
35.935,-0.62,-0.48,0.15
35.939,-0.56,-0.53,0.17
35.944,-0.5,-0.6,0.15
35.981,-0.46,-0.69,0.09
35.983,-0.43,-0.76,0.05
35.984,-0.45,-0.78,0
35.985,-0.45,-0.8,-0.03
35.987,-0.48,-0.78,-0.07
35.988,-0.5,-0.76,-0.09
35.99,-0.51,-0.75,-0.09
35.991,-0.52,-0.74,-0.11
35.993,-0.51,-0.72,-0.09
35.994,-0.51,-0.7,-0.07
36.004,-0.51,-0.69,-0.04
36.005,-0.51,-0.69,0.03
36.008,-0.52,-0.68,0.07
36.018,-0.53,-0.69,0.13
36.02,-0.53,-0.7,0.14
36.022,-0.57,-0.7,0.19
36.027,-0.56,-0.71,0.18
36.034,-0.58,-0.71,0.17
36.037,-0.58,-0.73,0.15
36.042,-0.62,-0.73,0.09
36.088,-0.63,-0.73,0.03
36.089,-0.64,-0.71,-0.01
36.091,-0.63,-0.66,-0.08
36.093,-0.61,-0.65,-0.09
36.095,-0.59,-0.61,-0.13
36.097,-0.53,-0.6,-0.13
36.099,-0.45,-0.59,-0.14
36.101,-0.41,-0.59,-0.1
36.103,-0.36,-0.58,-0.05
36.105,-0.32,-0.58,-0.02
36.107,-0.28,-0.58,0.01
36.108,-0.24,-0.6,0.01
36.11,-0.22,-0.61,0
36.112,-0.21,-0.62,0.02
36.119,-0.23,-0.65,0
36.121,-0.26,-0.69,-0.07
36.126,-0.29,-0.74,-0.14
36.135,-0.33,-0.78,-0.22
36.136,-0.36,-0.81,-0.29
36.141,-0.39,-0.84,-0.36
36.179,-0.43,-0.88,-0.42
36.181,-0.46,-0.89,-0.45
36.182,-0.5,-0.92,-0.5
36.183,-0.54,-0.94,-0.52
36.184,-0.54,-0.97,-0.53
36.186,-0.56,-1.01,-0.5
36.187,-0.57,-1.08,-0.41
36.188,-0.58,-1.16,-0.24
36.189,-0.6,-1.24,-0.05
36.191,-0.68,-1.34,0.14
36.202,-0.83,-1.4,0.19
36.203,-1.02,-1.4,0.2
36.206,-1.19,-1.37,0.15
36.211,-1.33,-1.32,0.07
36.219,-1.4,-1.26,0.02
36.221,-1.44,-1.21,-0.03
36.227,-1.43,-1.18,-0.02
36.236,-1.39,-1.18,0.01
36.238,-1.33,-1.17,0.04
36.241,-1.26,-1.17,0.08
36.245,-1.22,-1.18,0.13
36.294,-1.18,-1.18,0.17
36.296,-1.18,-1.2,0.18
36.297,-1.18,-1.21,0.17
36.298,-1.17,-1.23,0.15
36.3,-1.17,-1.23,0.16
36.301,-1.16,-1.24,0.2
36.302,-1.14,-1.21,0.28
36.304,-1.11,-1.16,0.35
36.305,-1.07,-1.12,0.43
36.306,-1.02,-1.07,0.51
36.308,-0.98,-1.04,0.56
36.309,-0.96,-1.01,0.6
36.31,-0.94,-0.98,0.64
36.319,-0.92,-0.95,0.65
36.32,-0.88,-0.94,0.67
36.324,-0.87,-0.89,0.68
36.337,-0.85,-0.86,0.72
36.339,-0.82,-0.84,0.7
36.341,-0.78,-0.82,0.71
36.344,-0.75,-0.81,0.66
36.39,-0.7,-0.82,0.58
36.392,-0.71,-0.8,0.48
36.394,-0.74,-0.8,0.37
36.396,-0.79,-0.8,0.21
36.397,-0.84,-0.83,0.05
36.399,-0.88,-0.88,-0.09
36.4,-0.92,-0.94,-0.27
36.401,-0.93,-1,-0.38
36.403,-0.93,-1.09,-0.49
36.404,-0.93,-1.15,-0.54
36.406,-0.92,-1.15,-0.58
36.407,-0.9,-1.15,-0.59
36.409,-0.9,-1.14,-0.57
36.418,-0.9,-1.12,-0.51
36.42,-0.9,-1.11,-0.48
36.424,-0.91,-1.11,-0.43
36.427,-0.9,-1.13,-0.38
36.438,-0.86,-1.17,-0.3
36.439,-0.81,-1.26,-0.24
36.442,-0.74,-1.37,-0.11
36.497,-0.64,-1.5,0.19
36.499,-0.56,-1.65,0.47
36.5,-0.48,-1.73,0.66
36.502,-0.44,-1.76,0.76
36.505,-0.44,-1.74,0.75
36.507,-0.48,-1.68,0.65
36.51,-0.52,-1.66,0.54
36.512,-0.55,-1.62,0.42
36.514,-0.57,-1.6,0.33
36.515,-0.62,-1.6,0.27
36.517,-0.6,-1.58,0.19
36.519,-0.59,-1.57,0.14
36.521,-0.56,-1.55,0.11
36.523,-0.48,-1.55,0.04
36.524,-0.45,-1.57,0
36.525,-0.45,-1.54,0
36.527,-0.47,-1.49,-0.01
36.535,-0.48,-1.43,-0.04
36.537,-0.57,-1.36,-0.01
36.541,-0.63,-1.31,0.11
36.55,-0.72,-1.25,0.18
36.552,-0.79,-1.22,0.19
36.557,-0.84,-1.17,0.15
36.601,-0.8,-1.11,0.12
36.603,-0.62,-1.12,0.11
36.605,-0.42,-1.14,0.08
36.606,-0.31,-1.09,0.09
36.608,-0.26,-1.04,0.07
36.609,-0.25,-0.95,0.08
36.612,-0.27,-0.88,0.06
36.614,-0.28,-0.81,0.04
36.616,-0.3,-0.78,0.04
36.617,-0.31,-0.7,0.06
36.619,-0.31,-0.63,0.11
36.621,-0.32,-0.59,0.15
36.623,-0.32,-0.54,0.17
36.635,-0.34,-0.52,0.21
36.637,-0.37,-0.51,0.24
36.639,-0.39,-0.51,0.24
36.641,-0.42,-0.51,0.24
36.653,-0.46,-0.51,0.21
36.655,-0.47,-0.52,0.19
36.657,-0.49,-0.53,0.16
36.661,-0.51,-0.56,0.11
36.709,-0.51,-0.56,0.04
36.711,-0.51,-0.55,0.01
36.714,-0.52,-0.53,-0.02
36.715,-0.5,-0.52,-0.07
36.716,-0.49,-0.53,-0.12
36.717,-0.45,-0.5,-0.12
36.718,-0.39,-0.46,-0.1
36.72,-0.33,-0.43,-0.1
36.721,-0.26,-0.44,-0.06
36.722,-0.2,-0.42,-0.03
36.724,-0.16,-0.38,0
36.725,-0.1,-0.36,0
36.726,-0.06,-0.31,0.04
36.734,-0.02,-0.28,0.03
36.736,0.01,-0.24,0.02
36.74,0.05,-0.19,0
36.751,0.08,-0.13,-0.04
36.753,0.12,-0.07,-0.09
36.754,0.16,-0.06,-0.14
36.758,0.21,-0.04,-0.22
36.795,0.24,-0.02,-0.26
36.797,0.28,-0.01,-0.34
36.798,0.32,0.01,-0.39
36.799,0.37,0.01,-0.45
36.8,0.4,0.02,-0.44
36.802,0.46,0.02,-0.31
36.803,0.53,0.02,-0.09
36.805,0.62,0.07,0.4
36.806,0.72,0.12,1.05
36.808,0.88,0.15,1.82
36.819,0.98,0.07,2
36.82,1.02,-0.1,1.65
36.823,0.96,-0.31,0.66
36.833,0.43,-0.44,-0.49
36.835,-0.06,-0.57,-1.19
36.838,-0.43,-0.67,-1.36
36.843,-0.65,-0.82,-1.18
36.88,-0.69,-0.98,-0.9
36.881,-0.69,-1.19,-0.69
36.883,-0.69,-1.48,-0.5
36.884,-0.72,-1.83,-0.29
36.885,-0.76,-2,-0.09
36.887,-0.8,-2,0.01
36.888,-0.94,-2,0.11
36.889,-1.13,-2,0.23
36.89,-1.46,-2,0.23
36.892,-1.66,-2,0.17
36.902,-1.65,-2,0.14
36.904,-1.51,-1.62,0.17
36.907,-1.35,-1.3,0.18
36.919,-1.19,-1.05,0.16
36.921,-1.04,-0.86,0.17
36.923,-0.9,-0.75,0.13
36.934,-0.76,-0.71,0.12
36.936,-0.65,-0.72,0.06
36.938,-0.56,-0.76,0.02
36.942,-0.51,-0.81,0.01
36.996,-0.5,-0.86,0.02
36.998,-0.49,-0.93,0.03
37,-0.49,-0.97,0.02
37.001,-0.5,-0.96,0.01
37.003,-0.5,-0.94,0.01
37.005,-0.53,-0.96,-0.02
37.006,-0.56,-1.01,-0.11
37.008,-0.63,-1.12,-0.19
37.01,-0.71,-1.22,-0.23
37.011,-0.81,-1.33,-0.26
37.013,-0.9,-1.46,-0.3
37.015,-1.03,-1.59,-0.31
37.016,-1.13,-1.71,-0.34
37.018,-1.19,-1.79,-0.34
37.02,-1.28,-1.84,-0.32
37.022,-1.27,-1.89,-0.25
37.032,-1.27,-1.82,-0.16
37.034,-1.2,-1.69,-0.08
37.036,-1.15,-1.53,-0.01
37.041,-1.14,-1.38,0.04
37.052,-1.08,-1.26,0.1
37.053,-1.08,-1.16,0.15
37.056,-1.07,-1.08,0.19
37.099,-1.02,-1.04,0.25
37.101,-1,-1.01,0.29
37.104,-0.96,-0.98,0.36
37.106,-0.92,-0.97,0.43
37.108,-0.9,-0.96,0.46
37.11,-0.9,-0.94,0.49
37.112,-0.92,-0.92,0.51
37.114,-0.99,-0.88,0.55
37.116,-1.03,-0.87,0.57
37.117,-1.05,-0.88,0.58
37.119,-1.08,-0.87,0.61
37.121,-1.08,-0.84,0.66
37.123,-1.07,-0.83,0.71
37.124,-1.06,-0.78,0.76
37.134,-1.02,-0.73,0.87
37.135,-1,-0.67,0.91
37.139,-0.97,-0.61,0.92
37.15,-0.94,-0.54,0.89
37.152,-0.89,-0.49,0.81
37.155,-0.85,-0.45,0.68
37.159,-0.79,-0.42,0.5
37.205,-0.72,-0.38,0.37
37.207,-0.67,-0.33,0.23
37.208,-0.61,-0.29,0.15
37.209,-0.55,-0.22,0.07
37.211,-0.46,-0.17,0
37.212,-0.37,-0.11,-0.04
37.214,-0.23,-0.04,-0.11
37.216,-0.19,0.05,-0.06
37.218,-0.3,0.17,-0.01
37.219,-0.4,0.22,0.01
37.221,-0.49,0.24,0.07
37.223,-0.53,0.23,0.16
37.224,-0.57,0.17,0.23
37.237,-0.63,0.13,0.32
37.239,-0.73,0.04,0.47
37.24,-0.83,-0.14,0.55
37.252,-0.9,-0.4,0.57
37.254,-0.9,-0.74,0.57
37.255,-0.9,-1.1,0.48
37.258,-0.94,-1.4,0.46
37.294,-1.01,-1.69,0.5
37.295,-1.01,-1.96,0.53
37.297,-0.97,-2,0.48
37.298,-0.82,-2,0.46
37.299,-0.68,-2,0.44
37.3,-0.57,-2,0.45
37.302,-0.49,-1.94,0.49
37.303,-0.39,-1.87,0.46
37.304,-0.27,-1.88,0.34
37.307,-0.18,-1.89,0.15
37.317,-0.13,-1.9,-0.02
37.319,-0.11,-1.81,-0.2
37.322,-0.14,-1.62,-0.32
37.334,-0.26,-1.38,-0.29
37.336,-0.45,-1.19,-0.18
37.337,-0.62,-1.1,0.03
37.341,-0.78,-1.11,0.29
37.352,-0.87,-1.2,0.48
37.354,-0.89,-1.32,0.55
37.357,-0.87,-1.4,0.57
37.447,-0.86,-1.42,0.51
37.448,-0.88,-1.41,0.46
37.45,-0.9,-1.35,0.39
37.452,-0.94,-1.27,0.32
37.454,-0.97,-1.13,0.24
37.456,-0.97,-1.1,0.18
37.457,-0.95,-1.02,0.11
37.46,-0.92,-0.92,0.13
37.462,-0.88,-0.85,0.15
37.464,-0.84,-0.75,0.18
37.466,-0.82,-0.66,0.27
37.467,-0.84,-0.57,0.36
37.469,-0.84,-0.5,0.41
37.471,-0.84,-0.45,0.43
37.473,-0.8,-0.39,0.4
37.474,-0.72,-0.36,0.36
37.476,-0.63,-0.33,0.32
37.477,-0.53,-0.31,0.3
37.479,-0.42,-0.32,0.25
37.48,-0.31,-0.32,0.23
37.482,-0.22,-0.35,0.2
37.483,-0.13,-0.37,0.15
37.484,-0.07,-0.39,0.09
37.486,0.01,-0.37,0.04
37.487,0.07,-0.35,0.04
37.488,0.11,-0.31,0.02
37.501,0.17,-0.27,0.02
37.502,0.2,-0.22,0.06
37.504,0.23,-0.18,0.08
37.505,0.27,-0.14,0.07
37.546,0.29,-0.1,0.07
37.547,0.32,-0.04,0.05
37.548,0.35,-0.02,0
37.55,0.4,0,-0.06
37.551,0.41,0.01,-0.12
37.553,0.44,0.02,-0.19
37.554,0.45,0.03,-0.3
37.556,0.45,0.02,-0.35
37.557,0.45,0.02,-0.35
37.56,0.48,0.06,-0.19
37.561,0.52,0.14,0.07
37.572,0.62,0.2,0.52
37.574,0.71,0.27,0.85
37.577,0.79,0.32,1.13
37.617,0.83,0.36,1.16
37.619,0.85,0.36,0.79
37.62,0.82,0.28,0.13
37.621,0.72,0.19,-0.54
37.623,0.42,0.06,-1.03
37.624,0.1,-0.02,-1.1
37.626,-0.15,-0.06,-1.06
37.628,-0.29,-0.1,-0.99
37.629,-0.38,-0.15,-0.83
37.63,-0.5,-0.22,-0.68
37.631,-0.6,-0.35,-0.56
37.639,-0.72,-0.58,-0.39
37.64,-0.81,-0.98,-0.2
37.648,-0.88,-1.38,-0.11
37.65,-1.28,-1.95,-0.09
37.653,-1.79,-2,-0.01
37.659,-2,-2,0.03
37.695,-2,-2,0.07
37.7,-2,-2,0.07
37.702,-2,-2,0.12
37.704,-2,-2,0.22
37.706,-1.94,-2,0.35
37.709,-1.59,-1.52,0.44
37.711,-1.28,-1.1,0.5
37.714,-1.03,-0.82,0.51
37.716,-0.79,-0.68,0.5
37.718,-0.56,-0.64,0.45
37.719,-0.37,-0.64,0.4
37.721,-0.23,-0.73,0.36
37.723,-0.14,-0.85,0.3
37.732,-0.12,-0.9,0.24
37.734,-0.13,-0.89,0.18
37.737,-0.17,-0.81,0.18
37.742,-0.22,-0.76,0.24
37.753,-0.27,-0.73,0.25
37.754,-0.34,-0.78,0.21
37.756,-0.42,-0.86,0.15
37.795,-0.52,-0.99,0.05
37.797,-0.61,-1.11,-0.04
37.798,-0.73,-1.26,-0.12
37.799,-0.85,-1.4,-0.25
37.801,-0.97,-1.51,-0.36
37.802,-1.01,-1.64,-0.45
37.804,-1.06,-1.7,-0.49
37.805,-1.07,-1.76,-0.55
37.806,-1.08,-1.75,-0.54
37.808,-1.07,-1.71,-0.52
37.818,-1.04,-1.62,-0.41
37.82,-1.02,-1.51,-0.31
37.821,-1,-1.44,-0.17
37.832,-1.04,-1.34,-0.1
37.834,-1.07,-1.29,-0.04
37.835,-1.09,-1.27,-0.04
37.841,-1.14,-1.25,-0.02
37.85,-1.21,-1.24,0
37.851,-1.24,-1.23,0.03
37.856,-1.25,-1.21,0.05
37.892,-1.26,-1.17,0.14
37.894,-1.27,-1.14,0.22
37.895,-1.23,-1.12,0.29
37.897,-1.21,-1.1,0.38
37.898,-1.14,-1.1,0.43
37.899,-1.08,-1.1,0.45
37.901,-1.02,-1.11,0.46
37.902,-0.94,-1.11,0.44
37.905,-0.9,-1.12,0.45
37.906,-0.84,-1.11,0.5
37.916,-0.8,-1.08,0.57
37.918,-0.74,-1.04,0.66
37.92,-0.73,-1.01,0.75
37.934,-0.72,-0.96,0.83
37.936,-0.74,-0.9,0.86
37.938,-0.76,-0.82,0.84
37.939,-0.79,-0.75,0.77
37.95,-0.82,-0.69,0.71
37.953,-0.81,-0.62,0.67
37.955,-0.77,-0.54,0.64
37.994,-0.71,-0.45,0.63
37.996,-0.66,-0.38,0.63
37.997,-0.61,-0.32,0.55
37.999,-0.57,-0.27,0.42
38.001,-0.52,-0.22,0.37
38.002,-0.49,-0.19,0.27
38.004,-0.46,-0.17,0.26
38.005,-0.43,-0.15,0.26
38.006,-0.4,-0.13,0.25
38.008,-0.39,-0.11,0.24
38.01,-0.37,-0.09,0.19
38.02,-0.34,-0.05,0.15
38.022,-0.32,0,0.1
38.025,-0.3,0.05,0.07
38.032,-0.27,0.09,0.03
38.034,-0.24,0.12,0
38.039,-0.23,0.15,-0.04
38.047,-0.32,0.21,-0.06
38.049,-0.42,0.26,-0.03
38.054,-0.56,0.29,0.02
38.088,-0.71,0.27,0.14
38.09,-0.89,0.15,0.29
38.091,-1.08,-0.09,0.41
38.093,-1.17,-0.36,0.35
38.094,-1.16,-0.63,0.25
38.095,-1.11,-0.88,0.15
38.096,-1.08,-1.1,0.1
38.098,-1.03,-1.28,0.1
38.099,-0.92,-1.46,0.19
38.108,-0.73,-1.58,0.33
38.11,-0.53,-1.7,0.5
38.113,-0.34,-1.79,0.51
38.118,-0.24,-1.85,0.4
38.123,-0.21,-1.91,0.15
38.132,-0.2,-2,-0.1
38.134,-0.18,-2,-0.32
38.138,-0.15,-2,-0.48
38.15,-0.13,-2,-0.45
38.153,-0.15,-2,-0.31
38.154,-0.16,-2,-0.08
38.211,-0.17,-2,0.11
38.213,-0.2,-2,0.16
38.215,-0.27,-2,0.1
38.216,-0.37,-2,0.06
38.218,-0.45,-1.97,0.12
38.22,-0.56,-1.81,0.2
38.222,-0.68,-1.7,0.3
38.224,-0.88,-1.54,0.42
38.225,-1.09,-1.38,0.45
38.227,-1.18,-1.29,0.4
38.228,-1.27,-1.25,0.27
38.229,-1.36,-1.22,0.17
38.231,-1.38,-1.18,0.09
38.232,-1.28,-1.13,0.09
38.234,-1.07,-1.09,0.08
38.235,-0.82,-1.04,0.14
38.237,-0.6,-1.01,0.19
38.247,-0.45,-0.99,0.21
38.248,-0.38,-0.95,0.22
