numSteps,cadence,skewness,kurtosis,gaitVelocity,stepLength,ratio,stepTime,avgPower,snr,thd,weight,gender,drinks,result
16,1.4971,2.0251,8.0324,0.093572,6.6923,0.39102,13.267,26215,-4.2388,-1.3473,127,male,3,a
13,1.273,1.5795,5.9783,0.097924,-2.22E-16,0.8701,6.3372,18659,-3.9304,NaN,127,male,3,a
6,1.2605,0.44177,2.7249,0.21008,-10.231,NaN,2.803,5642.9,-3.5636,NaN,127,male,4,a
13,1.3244,0.68573,3.3435,0.10187,2.22E-16,0.31802,7.4008,7812.6,-3.4839,-1.6533,127,male,4,a
12,1.1981,0.86383,3.555,0.09984,-1.9231,0.40643,4.361,7666,-3.8894,-2.4583,127,male,4,a
13,1.2368,1.9374,7.4595,0.095138,-6.66E-16,0.85762,5.5674,35846,-3.599,NaN,127,male,4,a
13,1.214,1.8125,7.2411,0.093388,-4.44E-16,0.91489,5.0746,17160,-3.3543,-8.5061,127,male,4,a
10,0.98863,1.4426,6.7427,0.098863,-5.3077,0.74408,-0.22869,10616,-1.6043,-19.838,127,male,4,a
23,2.0646,1.8777,7.7916,0.089767,27.692,0.83714,36.347,19220,-4.6871,-0.40454,127,male,4,a
12,1.2107,1.4651,6.0242,0.10089,-1.9231,0.71886,4.6158,18160,-4.6206,-0.78371,127,male,4,a
11,1.0564,1.851,7.5073,0.096034,-3.6923,0.8361,1.2071,25932,-5.0577,NaN,127,male,4,a
10,1.0288,1.8461,9.5747,0.10288,-5.3077,0.95535,0.56807,13649,-4.5189,-8.1521,127,male,4,a
